name,address,long,lat
Starbucks,"100 W 33rd St, New York, NY 10001, United States",-73.98951199999999,40.749267
Starbucks,"1500 Broadway, New York, NY 10019, United States",-73.9858802,40.7567274
Starbucks,"321 W 110th St, New York, NY 10026, United States",-73.9593476,40.8012466
Starbucks,"910 Manhattan Ave, Brooklyn, NY 11222, United States",-73.95411829999999,40.7305387
Starbucks,"1411 6th Ave, New York, NY 10019, United States",-73.977102,40.7647848
Starbucks,"482 W Broadway, New York, NY 10012, United States",-74.0002098,40.7268419
Starbucks,"575 5th Ave, New York, NY 10017, United States",-73.978301,40.756425
Starbucks,"195 Broadway, New York, NY 10007, United States",-74.010363,40.71091
Starbucks,"2690 Broadway, New York, NY 10025, United States",-73.96837599999999,40.798889
Starbucks,"1889 Broadway, New York, NY 10023, United States",-73.982462,40.771316
Starbucks Reserve,"1585 Broadway, New York, NY 10036, United States",-73.985222,40.759636
Starbucks,"80 Delancey St, New York, NY 10002, United States",-73.989977,40.719333
Starbucks,"177 8th Ave, New York, NY 10011, United States",-74.0003861,40.7430403
Starbucks Reserve,"250 Vesey St #203, New York, NY 10281, United States",-74.01553229999999,40.7141516
Starbucks,"315 7th Ave, New York, NY 10001, United States",-73.99333500000002,40.746926
Starbucks,"245 E 93rd St, New York, NY 10128, United States",-73.94847399999999,40.78272
Starbucks,"120 E 87th St, New York, NY 10128, United States",-73.955308,40.78014
Starbucks,"870 7th Ave, New York, NY 10019, United States",-73.98079179999999,40.7648139
Starbucks,"540 Columbus Ave, New York, NY 10024, United States",-73.972251,40.786702
Starbucks,"684 8th Ave, New York, NY 10036, United States",-73.989035,40.7580006
